세그먼트코드,적용시작일자,역명,적용종료일자,이력구분,역일련번호,세그먼트누적거리,최초등록일시,최종변경일시
209,1900-01-01,도심,9999-12-31,신규 ,2,1.5,2011-12-13 00:00,2011-12-13 00:00
209,1900-01-01,팔당,9999-12-31,신규 ,3,5.7,2011-12-13 00:00,2011-12-13 00:00
212,1900-01-01,팔당,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
212,1900-01-01,능내,9999-12-31,신규 ,2,6.4,2011-12-13 00:00,2011-12-13 00:00
212,1900-01-01,양수,9999-12-31,신규 ,3,8.3,2011-12-13 00:00,2011-12-13 00:00
215,1900-01-01,양수,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
215,1900-01-01,신원,9999-12-31,신규 ,2,4.7,2011-12-13 00:00,2011-12-13 00:00
215,1900-01-01,국수,9999-12-31,신규 ,3,7.6,2011-12-13 00:00,2011-12-13 00:00
218,1900-01-01,국수,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
218,1900-01-01,아신,9999-12-31,신규 ,2,4.1,2011-12-13 00:00,2011-12-13 00:00
218,1900-01-01,오빈,9999-12-31,신규 ,3,6.9,2011-12-13 00:00,2011-12-13 00:00
218,1900-01-01,양평,9999-12-31,신규 ,4,9.1,2011-12-13 00:00,2011-12-13 00:00
221,1900-01-01,양평,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
221,1900-01-01,원덕,9999-12-31,신규 ,2,5.8,2011-12-13 00:00,2011-12-13 00:00
221,1900-01-01,용문,9999-12-31,신규 ,3,10.6,2011-12-13 00:00,2011-12-13 00:00
600,1900-01-01,구로,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
600,1900-01-01,구일,9999-12-31,신규 ,2,1.4,2011-12-13 00:00,2011-12-13 00:00
600,1900-01-01,개봉,9999-12-31,신규 ,3,2.4,2011-12-13 00:00,2011-12-13 00:00
600,1900-01-01,오류동,9999-12-31,신규 ,4,3.7,2011-12-13 00:00,2011-12-13 00:00
603,1900-01-01,오류동,9999-12-31,신규 ,1,0,2011-12-13 00:00,2011-12-13 00:00
603,1900-01-01,온수,9999-12-31,신규 ,2,1.9,2011-12-13 00:00,2011-12-13 00:00
