세그먼트코드,적용시작일자,적용종료일자,운행지역본부구분,세그먼트시작역명,세그먼트종료역명,세그먼트거리,이력구분코드,최초등록일시,최종변경일시
1400,1900-01-01,9999-12-31,수도권동부본부 ,망우,퇴계원,7.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
1403,1900-01-01,9999-12-31,수도권동부본부 ,퇴계원,평내,10.9,신규 ,2011-12-13 00:00,2011-12-13 00:00
1406,1900-01-01,9999-12-31,수도권동부본부 ,평내,가평,33.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
1409,1900-01-01,9999-12-31,수도권동부본부 ,가평,백양리,7.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
1412,1900-01-01,9999-12-31,수도권동부본부 ,백양리,남춘천,18.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
1415,1900-01-01,9999-12-31,수도권동부본부 ,남춘천,춘천,2.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
2100,1900-01-01,9999-12-31,수도권서부본부 ,금정,산본,2.3,신규 ,2011-12-13 00:00,2011-12-13 00:00
2103,1900-01-01,9999-12-31,수도권서부본부 ,산본,안산,17.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
2106,1900-01-01,9999-12-31,수도권서부본부 ,안산,오이도,6.5,신규 ,2011-12-13 00:00,2011-12-13 00:00
2300,1900-01-01,9999-12-31,수도권동부본부 ,선릉,수서,6.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
2303,1900-01-01,9999-12-31,수도권동부본부 ,수서,경원대,5.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
2306,1900-01-01,9999-12-31,수도권동부본부 ,경원대,서현,7.3,신규 ,2011-12-13 00:00,2011-12-13 00:00
2309,1900-01-01,9999-12-31,수도권동부본부 ,서현,수내,1.1,신규 ,2011-12-13 00:00,2011-12-13 00:00
2312,1900-01-01,9999-12-31,수도권동부본부 ,수내,오리,4.5,신규 ,2011-12-13 00:00,2011-12-13 00:00
2315,1900-01-01,9999-12-31,수도권동부본부 ,오리,죽전,1.8,신규 ,2011-12-13 00:00,2011-12-13 00:00
2318,1900-01-01,9999-12-31,수도권동부본부 ,죽전,보정,0.8,신규 ,2011-12-13 00:00,2011-12-13 00:00
2321,1900-01-01,9999-12-31,수도권동부본부 ,죽전,분당기지,0.5,신규 ,2011-12-13 00:00,2011-12-13 00:00
2400,1900-01-01,9999-12-31,서울본부 ,삼송,3대곡,9.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
2403,1900-01-01,9999-12-31,서울본부 ,3대곡,대화,7.8,신규 ,2011-12-13 00:00,2011-12-13 00:00
2406,1900-01-01,9999-12-31,서울본부 ,대곡,3대곡,0,신규 ,2011-12-13 00:00,2011-12-13 00:00
9000,1900-01-01,9999-12-31,서울본부 ,서울,지하서울,0,신규 ,2011-12-13 00:00,2011-12-13 00:00
9003,1900-01-01,9999-12-31,수도권동부본부 ,지하서울,1지청량리,7.8,신규 ,2011-12-13 00:00,2011-12-13 00:00
9300,1900-01-01,9999-12-31,서울본부 ,삼송,3지축,1.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
9303,1900-01-01,9999-12-31,서울본부 ,3지축,구파발,1.5,신규 ,2011-12-13 00:00,2011-12-13 00:00
9306,1900-01-01,9999-12-31,수도권동부본부 ,구파발,약수,14.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
9309,1900-01-01,9999-12-31,수도권동부본부 ,약수,3수서,19.1,신규 ,2011-12-13 00:00,2011-12-13 00:00
9312,1900-01-01,9999-12-31,수도권서부본부 ,3수서,오금,3,신규 ,2011-12-13 00:00,2011-12-13 00:00
9400,1900-01-01,9999-12-31,수도권동부본부 ,당고개,4창동,3.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
9403,1900-01-01,9999-12-31,수도권동부본부 ,4창동,한성대,9.4,신규 ,2011-12-13 00:00,2011-12-13 00:00
9406,1900-01-01,9999-12-31,서울본부 ,한성대,4서울,6.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
9409,1900-01-01,9999-12-31,서울본부 ,4서울,삼각지,2.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
9412,1900-01-01,9999-12-31,수도권서부본부 ,삼각지,사당,7.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
9415,1900-01-01,9999-12-31,수도권서부본부 ,사당,남태령,1.6,신규 ,2011-12-13 00:00,2011-12-13 00:00
9418,1900-01-01,9999-12-31,수도권서부본부 ,금정,남태령,14.4,신규 ,2011-12-13 00:00,2011-12-13 00:00
A100,1900-01-01,9999-12-31,수도권서부본부 ,구로차량,구로,1.4,신규 ,2011-12-13 00:00,2011-12-13 00:00
H100,1900-01-01,9999-12-31,수도권서부본부 ,광명,시흥,4.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
HH00,1900-01-01,9999-12-31,수도권서부본부 ,광명기지,광명,1.7,신규 ,2011-12-13 00:00,2011-12-13 00:00
1P00,1900-01-01,9999-12-31,서울본부 ,문산차,문산,2,신규 ,2011-12-13 00:00,2011-12-13 00:00
1G00,1900-01-01,9999-12-31,수도권서부본부 ,병점차,병점,1.4,신규 ,2011-12-13 00:00,2011-12-13 00:00
1Q00,1900-01-01,9999-12-31,수도권서부본부 ,서동탄,병점,2.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
A300,1900-01-01,9999-12-31,수도권동부본부 ,성북차분,성북,0,신규 ,2011-12-13 00:00,2011-12-13 00:00
B200,1900-01-01,9999-12-31,수도권서부본부 ,시흥기지,오이도,2,신규 ,2011-12-13 00:00,2011-12-13 00:00
1J00,1900-01-01,9999-12-31,수도권동부본부 ,이문차,성북,2,신규 ,2011-12-13 00:00,2011-12-13 00:00
1R00,1900-01-01,9999-12-31,수도권동부본부 ,평내기지,평내,2.5,신규 ,2011-12-13 00:00,2011-12-13 00:00
2900,1900-01-01,9999-12-31,서울본부 ,지축기지,삼송,1.4,신규 ,2011-12-13 00:00,2011-12-13 00:00
2903,1900-01-01,9999-12-31,서울본부 ,지축기지,구파발,2.2,신규 ,2011-12-13 00:00,2011-12-13 00:00
B100,1900-01-01,9999-12-31,수도권동부본부 ,창동기지,4창동,0.8,신규 ,2011-12-13 00:00,2011-12-13 00:00
