G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
25221325,디젤기관차용조속기구동장치,Diesel locomotive governor drive gear,디젤기관차의 기관조속기를 구동시키는 치차조립체 및 부속품으로 기관 전단부의 부속장치 구동치차열에 속해 있음.,2012-12-19 01:27,Y
25221326,디젤동차용조속기장치,Diesel rail car transmission governor,디젤동차의 운행속도와 기관속도에 따라 최적의 견인출력을 얻도록 변속기의 컨버터를 선택해 주는 장치임.,2012-12-19 01:27,Y
25221327,증기기관차용보일러장치,Steam locomotive boiler equipment,"증기기관차에 사용되는 보일러로 화실, 연소실, 연관, 굴뚝등으로 구성되어 있음.",2012-12-19 01:27,Y
25221328,디젤기관차용캠샤프트,Diesel locomotive cam shaft,"디젤기관차 기관의 분사밸브 및 배기밸브를 동작시키는 캠축으로, 2개의 축(Segment)이 스페이서(Spacer)로 연결되고 양 끝에 스터프(Stuf)축이 조립됨.",2012-12-19 01:27,Y
25221329,디젤동차용캠샤프트,Diesel rail car cam shaft,"디젤동차 기관의 실린더 헤드에 장착된 흡기·배기밸브 및 연료분사기를 연소순서에 맞추어 작동시키기 위해 편심으로 돌출된 다수의 캠이 가공되어 있는 축으로,캠축이 회전하면서 캠의 각도에 따라 푸시로드를 밀어 올려서 밸브장치가 개폐됨.",2012-12-19 01:27,Y
25221330,철도차량용캠샤프트,Rollingstock engine cam shaft,"객화차와 사고복구기중기 등 특수차량용 엔진의 분사장치 및 배기장치 등을 동작시키는 캠축으로, 세그멘트(Segment), 스페이서(Spacer), 스터프(Stuf) 등으로 구성됨.",2012-12-19 01:27,Y
25221331,디젤기관차용캠샤프트구동장치차열,Diesel locomotive cam shaft drive gears,디젤기관차 기관의 2개 캠축을 구동시키는 치차열로 기관 후단부에 위치하며 중간치차열을 거쳐 크랭크축과 연결됨.,2012-12-19 01:27,Y
25221332,디젤기관차용캠샤프트구동하우징커버,Diesel locomotive crankshaft driving gear housing cover,디젤기관차 기관의 캠축 구동치차열을 감싸는 하우징(Housing)의 커버와 실(Seal) 및 취부용 부속품임.,2012-12-19 01:27,Y
25221335,디젤기관차용커넥팅로드,Diesel locomotive connecting rod,"연결봉, 연접봉, 콘넥팅로드라 하며, 피스톤과 크랭크 축을 연결하는 긴봉을 말함.",2012-12-19 01:27,Y
25221336,디젤동차용커넥팅로드,Diesel rail car connecting rod,"디젤동차 기관의 피스톤에서 발생한 왕복운동을 크랭크축의 회전운동으로 변환시키는 아이(I)형의 연결봉으로, 로드 및 메탈 베어링 등으로 구성됨.",2012-12-19 01:27,Y
25221337,철도차량용콘넥팅로드,Rollingstock engine connecting rod,객화차와 사고복구기중기 등 특수차량용 엔진의 피스톤과 크랭크축을 연결해주는 로드를 말함.,2012-12-19 01:27,Y
25221338,철도차량용크랭크케이스,Rollingstock engine crankcase,"객화차와 사고복구기중기 등 특수차량용 엔진의 크랭크케이스(실린더 블록)로, 부속품을 포함.",2012-12-19 01:27,Y
25221339,디젤기관차용크랭크샤프트,Diesel locomotive crankshaft,"디젤기관차 기관에서 피스톤의 왕복운동을 피스톤 로드를 통해 회전운동으로 바꿔주는 축조립체로, 메인베어링과 스러스트칼라(Thrust collar) 및 비틀림댐퍼 등으로 되어 있음.",2012-12-19 01:27,Y
25221340,디젤동차용크랭크샤프트,Diesel rail car crankshaft,"디젤동차 기관에서 피스톤의 왕복운동을 피스톤 로드를 통해 회전운동으로 바꿔주는 회전축 조립체로, 메인 베어링으로 크랭크 케이스에 취부되며 부속품을 포함함.",2012-12-19 01:27,Y
25221341,철도차량용크랭크샤프트,Rollingstock engine crankshaft,"객화차와 사고복구기중기 등 특수차량용 엔진의 크랭크축으로, 피스톤의 왕복운동을 회전운동으로 바꾸어 주며 부속품을 포함함.",2012-12-19 01:27,Y
25221342,디젤기관차용크랭크케이스,Diesel locomotive crankcase,"디젤기관차 기관의 실린더조립체와 크랭크축 및 기관부속장치들을 설치하도록 강판을 용접하여 만든 강구조물로, 톱덱(Top deck), A프레임, 실린더 뱅크, 측판, 단판 및 베이스레일로 이루어진 조립체 및 부속품임.",2012-12-19 01:27,Y
25221343,디젤동차용크랭크케이스,Diesel rail car crankcase,"디젤동차 기관의 기본 구조물로 크랭크축, 캠축 및 각종 부속장치를 취부할 수 있도록 가공한 일체형 주조물이며 부속품을 포함함.",2012-12-19 01:27,Y
25221344,디젤동차용타이밍기어,Diesel rail car timing gear,"디젤동차 기관의 타이밍기어로서, 크랭크축의 회전에 따라 밸브의 작동시기를 조정해 줌.",2012-12-19 01:27,Y
25221345,디젤기관차용피스톤,Diesel locomotive piston,"디젤기관차 기관의 실린더내 폭발력으로 왕복운동하는 주철합금제의 조립체로, 몸체(Carrier), 압축링, 오일링 등으로 구성됨.",2012-12-19 01:27,Y
25221346,디젤동차용피스톤,Diesel rail car piston,"디젤동차 기관의 실린더내에서 왕복운동을 하면서 연소실의 폭발압력을 커넥팅 로드에 전달하여 기계적 동력으로 변환시키는 원통형의 조립체로, 몸체(CARRIER), 피스톤 핀, 압축링, 오일링 등으로 구성됨.",2012-12-19 01:27,Y
25221347,철도차량용피스톤,Rollingstock engine piston,"객화차와 사고복구기중기 등 특수차량용 엔진의 실린더내 폭발력으로 왕복운동하는 원통형의 조립체이며, 몸체(CARRIER), 압축링, 오일링 등으로 구성됨.",2012-12-19 01:27,Y
25221349,디젤기관차용부속구동장치,Diesel locomotive accessory driver gear,디젤기관 기관의 부속장치중에서 주윤활유펌프치차와 냉각수펌프치차를 직접 구동시키는 치차장치와 부속품.,2012-12-19 01:27,Y
25221351,디젤기관차용유분리기,Diesel locomotive oil seperator,"디젤기관의 윤활유가 기관의 연소열에 의하여 높아지면 윤활유중의 수분이 증발 유연(油煙)을 발생하게 되어 압력이 높아지게 되는데, 이 압력을 제거하기 위하여 유연(油煙)을 대기로 뽑아 낼 때에 기름과 가스를 분리하는 장치.",2012-12-19 01:27,Y
25221352,디젤기관차용과급기,Diesel locomotive turbocharger,"디젤기관차 기관에서 발생하는 고온고압의 배기가스를 이용하여 기관의 가스터빈을 회전시켜 기관의 출력을 증가시키고 연료를 절약하는 장치로, 압축기부와 터어빈부 및 치차구동부로 되어 있음.",2012-12-19 01:27,Y
25221355,디젤동차용플라이휠및하우징,Diesel rail car fly wheel and housing,"디젤동차 기관의 크랭크축 끝에 취부되어 크랭크축에서 발생하는 회전력의 불균형과 진동을 관성으로 흡수하여 회전력을 균일화시켜주는 원판 모양의 플라이휠과 이플라이휠을 감싸서 보호하는 하우징으로, 링기어(RING GEAR)와 커버 등으로 되어 있음.",2012-12-19 01:27,Y
