G2B분류번호,G2B품명,G2B영문품명,품명해설,생성일시,G2B코드사용여부
13101704,에틸렌프로필렌(EP)고무,Ethylene propylene (EP),"에틸렌과 프로필렌을 주성분으로하여 중합한 고무상 탄성체인 고무로서 불포화 탄화수소 결합의 유무 및 기름첨가 여부에 따라 분류하며, 또한 무니점도 및 인장강도에 따라 세분함.",2012-12-19 01:27,Y
13101705,스티렌부타디엔고무,Styrene butadiene (SBR),"스티렌과 부타디엔을 혼성중합시켜서 얻는 고무. 합성고무 중에서 가장 많이 생산, 사용되고 있는 대표적 품종으로서, 자동차 타이어를 비롯하여 거의 모든 고무제품에 사용되는 범용 합성고무임.",2012-12-19 01:27,Y
12171602,무기금속산화물,Inorganic metal oxides,"아주 오랜 옛날부터 이용된 무기안료는 아연, 티탄, 납, 철, 크롬등의 산화물, 수산화물, 황산염, 크롬산염, 인산염 등의 화합물을 주성분으로 하는 유기용제에 녹지않는 화학염료로서, 일반적으로 내광성과 내열성은 좋으나 착색력은 떨어지고 색조도 선명하지 않은 단점이 있으나 보존력은 뛰어남. 백색과 흑색 등의 무채색 착색제로 중요한 대표적인 무기안료로는 티탄(백색)과 카본블랙(흑색) 및 코발트(녹색 또는 청색) 등이 있음. 무기안료는 천연무기안료와 합성무기안료로 나눌 수 있고 안료의 내구성, 내열성, 접착성, 내습성, 전이 유출에 대한 내구성, 용매의 내구성, 은폐력, 착색성 등을 고려하여 안료를 선택해야함.",2012-12-19 01:27,Y
12171605,유기안료,Organic pigments,"유기화합물을 주성분으로 하는 물에 녹지 않는 성질이 있는 염료 또는 물에 가용성 염료를 침전제로 침전시켜 불용성으로 만든 것을 말하고 내광성과 내열성이약하고 가격이 고가이지만 무기안료에 비해 다양하고 선명한 색상을 가지고 있으며 착색력이 좋은 장점이 있음. 유기안료의 경우 천연 유기안료와 합성유기안료로분류되는데 이중 천연유기안료는 식물과 동물에서 축출한 염료를 레이크(Lake)화 한 것이고 합성유기안료는 아조기(-N=N-)를 가진 아조계안료를 나타냄. 유기안료는 공정상 고열을 필요하지 않는 인쇄잉크, 도료, 플라스틱 염색 등에 널리 사용됨",2012-12-19 01:27,Y
1218,왁스및오일,Waxes and oils,윤활성을 지닌 유제로서 상온에서 고체인 왁스와 상온에서 액체인 오일로 구분되는 화학 물질로 왁스와 오일은 모두 점성이 있는 가연성 물질로 물에 용해되지않는 성질을 가짐.,2012-12-19 01:27,Y
121815,왁스,Waxes,"물에 녹지 않는 식물성, 동물성, 광물성의 유연물질로 지방, 고급지방산, 지방산과 고급알코올과의 에스테르로 이루어진 고급1가 또는 고급2가 지방산 알코올에스테르로 상온에서 고체상태이면서 온도를 높이면 유체로 변하는 분자량이 수백정도 되는 화학물질. 왁스는 광택, 윤활작용 및 방수,방부성능을 나타내기 때문에 여러 산업분야에서 단독 또는 기타 수지류와 혼합하여 사용되고 양초, 접착제, 잉크, 계면활성제의 원료 등으로 널리사용. 왁스의 종류에는 주로 용융점에따라 파라핀왁스, 밀납 등과 같은 저융점왁스와 마이크로 크리스탈린왁스, 카나우바왁스, 합성왁스 등과 같은 고융점왁스로 구분하거나 원료성분에 따라 파라핀, 마이크로 크리스탈린왁스와 같은 석유계왁스, 동물성 천연왁스, 식물성 천연왁스, 합성왁스 등으로 구분함. 또한 넓은 의미의 왁스에는 반유동성의 바세린,유동파라핀, 액체파라핀등이 포함되므로 어떤 왁스들은 상온에서 반유동상이거나 완전유동상일수도 있음.",2012-12-19 01:27,Y
12181503,파라핀,Paraffins,"중유유분을 냉각하여 석출한 것을 가압 여과하여 얻을 수 있는 파라핀은 석유에서 얻어지는 26∼30개의 탄소수를 갖는 탄화수소 혼합물로 구성된 광물성왁스.40∼71℃의 용융점을 가지며 고형파라핀은 물에 녹지 않고, 에테르, 클로로포름, 벤젠에 녹는 성질을 가짐. 파라핀은 양초, 파라핀지 제조, 전기절연재료, 크레용 등의 원료로 사용됨.",2012-12-19 01:27,Y
12181599,마이크로크리스탈린왁스,Microcrystalline waxes,"직쇄형(Normal) 탄화수소로 구성되어 있는 파라핀왁스와는 달리 측쇄형(Branched) 탄화수소로 구성되어 있으며, 평균 탄소수가 35~50에 달하고분자량이 500~700 정도인 탄화수소 혼합물로 구성된 광물성왁스로, 성질은 파라핀과 유사하나 용융점이 60∼91℃로 더 높으며, 산업용도는 전기절연제용, 카본지용, 화장품용, 프린트잉크용, 접착제용으로 사용됨.",2012-12-19 01:27,Y
121816,오일,Oils,"물에 용해되지 않고 물보다 가벼워서 수면 위에 엷은 층을 이루어 퍼지는 성질을 가지고 있는 오일은 상온에서는 액체로서 점성이 있는 가연성 물질로 광유 및동식물유와 같은 천연오일과 다양한 화학성분들 사이에서 발생하는 화학반응을 통하여 제조된 합성오일로 구분됨. 단, 윤활제로 사용되는 에스테르계 합성 윤활유는 제외함.",2012-12-19 01:27,Y
12181699,박리오일,Form oils,"거푸집의 콘크리트와 접촉되는 표면에 도포하여 콘크리트가 양생된 후 탈형을 용이하게 하기 위하여 사용되는 토목건축용 오일로, 콘크리트의 표면이 매끄럽고 깨끗해지며 거푸집의 사용횟수를 증가시키고 유지보수를 용이하게 하는 역할을 하며, 거푸집과 같은 목재, 합판 뿐만 아니라 철재, 고무, 유로폼 등의 특수 구조물에도 활용됨.",2012-12-19 01:27,Y
1219,용매,Solvents,"용질을 녹여 용액을 만드는 물질로서, 일반적으로 용매는 액체인 경우가 대부분이며, 액체와 액체로 이루어진 용액에서는 둘 중 양이 더 많은 액체를 용매로,더 적은 액체를 용질로 봄.",2012-12-19 01:27,Y
121915,탄화수소용매,Hydrocarbonated solvents,탄소와 수소로 이루어진 유기화합물의 용매.,2012-12-19 01:27,Y
12191501,방향족용매,Aromatic solvents,"벤젠고리(C6H6)를 함유하는 탄화수소화합물인 용매(단, 페놀계는 제외함).",2012-12-19 01:27,Y
12191502,지방족용매,Aliphatic solvents,"분자 내의 탄소원자가 고리 모양의 구조를 가지지 않은 유기화합물로, 포화탄화수소(알칸)와 불포화탄화수소(알켄, 알킨) 화합물이 있음. 단 산소를 포함한활성용매는 제외함.",2012-12-19 01:27,Y
12191503,페놀계용매,Phenols or its substitutes or derivatives,벤젠고리 또는 방향족 탄소 고리 부분을 형성하는 탄소 원자에 히드록시기(-OH)가 결합되어 있는 페놀계유기화합물 용매.,2012-12-19 01:27,Y
12191504,고리형알칸용매,Cyclic alkanes,포화탄화수소 화합물이 고리 형태를 이루고 있는 유기화합물의 용매.,2012-12-19 01:27,Y
121916,산화용매,Oxygenated solvents,분자구조에 산소를 포함하는 유기용매.,2012-12-19 01:27,Y
12191601,알코올용매,Alcohol solvents,"탄화수소의 수소원자를 히드록시기 -OH로 치환된 화합물로, 1가알코올중 액체인 용매만을 말함.",2012-12-19 01:27,Y
12191602,활성용매,Active solvents,"분자구조에 산소를 포함하는 유기용매로 용질과 반응성이 있음. 알코올을 제외한 용매로서, 에스테르, 아세톤, 에테르 등이 있음.",2012-12-19 01:27,Y
121917,염소화용매,Chlorinated solvents,"탄소와 수소만의 결합으로 이루어진 유기화합물인 탄화수소의 골격 구조에서 수소원자를 대신하여 염소원자로 치환한 화합물. 대표적인 염소화용매로는 4개의 수소원자가 염소원자로 치환된 사염화탄소, 3개의 염소원자가 치환된 트리클로로에틸렌과 트리클로로메탄, 2개의 염소원자가 치환된 디클로로메탄 등이 있음. 이러한염소화용매는 주로 유기화합물의 추출 및 반응 용제, 합성원료 등의 다양한 용도로 널리 사용됨.",2012-12-19 01:27,Y
12191701,트리클로로에틸렌,Trichloroethylene,"불포화탄화수소 용매의 종류인 트리클로로에틸렌(Trichloroethylene, C2HCl3)은 에틸렌의 수소원자 3개를 염소원자로 치환한 염소계 화합물로서 87.2℃ 정도의 비등점을 가지는 비중 1.46의 유기용매. 무색의 무거운 액체로 클로로포름과 비슷한 냄새와 마취성이 있고 불연성이며 물에는 거의 녹지 않고 에탄올, 에테르, 벤젠 등 유기용매와 혼합되는 성질을 가지고 있음. 테트라클로로에틸렌에서 염화수소를 이탈시키거나 또는 에틸렌을 염소화한 후 분별증류하여 합성함. 드라이클리닝이나 유지 추출시 용제로서 사용될 뿐 아니라 살충제, 유기화합물의 합성원료로도 사용되며, 소화제 등의 약제로 사용되고 있고,또한 생고무, 염료, 도료, 유지 등의 용제 및 금속기계부품 등의 탈유지 세정제, 향료 추출제 등으로도 사용됨. [CAS No. 79-01-6]",2012-12-19 01:27,Y
1235,화합물및혼합물,Compounds and mixtures,2개 이상의 다른 원소들이 일정 비율로 구성된 화합물과 두 종류 이상의 물질들이 화학적 반응을 일으키지 않은 상태로 단순히 섞여 있는 혼합물을 말함.,2012-12-19 01:27,Y
12169401,콘크리트무수축제,Concrete non shrinkage agents,"외부 환경으로 인한 온도강하 및 건조에 의해 타설된 콘크리트에 발생하는 수축현상 등으로 콘크리트 표면에 균열이 일어나는 현상을 방지할 목적으로 소성 또는경화 상태의 콘크리트가 수축되지 않도록 하는 혼화제. 수경성 물질의 수축은 구조물에 많은 문제점을 발생시키므로 소성수축률, 건조수축률을 감소시켜 일정한품질을 유지하도록 해야 함. 무수축제는 주로 셀프레벨링(Self leveling)재, 무수축 그라우트재, 방통 모르타르 등 바닥재, 포틀란드 시멘트 및고 알루미나 시멘트를 사용한 건조 모르타르의 수축저감 등의 용도로 사용됨. 근래의 콘크리트 무수축혼화제는 콘크리트의 강도를 향상시키기 위한 수축 보상제및 분말 유동화제, 분리방지제를 포함하여 고강도 무수축 콘크리트의 설계에 사용되며 교량의 팽창조인트(Expansion joint), 각종 기계 기초공사, 각종 파일(File)의 채움, 레일(Rail) 기초공사 등 기타 고강도와 무수축성이 요구되는 무수축 콘크리트 시공에 사용됨.",2012-12-19 01:27,Y
121699,산업용방부제,Industrial antiseptics,"동식물성 유기물이 미생물의 작용에 의해 산화 또는 부패되는 것을 방지하는 작용을 하는 화학제품. 미생물을 사멸시키는 소독제 또는 살균제와는 달리 세균의발육을 저지하는 역할을 하며 일반적으로 방부제라고 하면 변질을 막아 보존기간 동안의 품질과 신선도를 유지시키기 위해서 식품, 화장품, 의약품 등에 첨가하는 첨가제이므로 인체에 해가 없고 첨가된 방부제로 인한 제품의 손상이 없어야 하는 제반조건을 만족해야 함.",2012-12-19 01:27,Y
12169999,방부첨가물,Antiseptic additives,"물질의 부패를 방지할 목적으로 첨가하는 방부첨가물을 산업용도별로 구분하면 목재, 섬유, 피혁, 도료, 종이 등에 첨가하는 공업용 방부제와 청량음료수, 식육제품, 일반조미료로 첨가하는 식품용 방부제 및 점안제, 수제, 주사제 등의 의약품용 방부제가 있음. 식품용 방부제는 식품보존료라고도 하며 의약품의 경우와 같이 약사법 또는 식품위생법으로 그 사용을 규제하고 있음.",2012-12-19 01:27,Y
1217,착색제,Colorants,섬유를 비롯한 고무 및 합성수지 등에 색깔을 염착하기 위하여 사용되는 물질로 물 또는 유기용매 등에 분산되어 착색되는 염료와 착색막을 만들어 도포되는 안료를 포함함.,2012-12-19 01:27,Y
121715,염료,Dyes,"광범위의 염료는 착색제의 총칭으로 사용되지만 좁은 의미로는 물과 유기용제에 단분자로 분산되어 섬유에 착색하는 유색물질만을 가리키며 물체 표면에 불투명한유색막을 만드는 안료와는 구별하여 사용함. 염료는 반응성염료, 산성염료, 아조익염료, 염기성염료, 직접염료, 황화염료, 형광염료 등 다양한 종류가 있으며염색대상 섬유의 종류에 따라 선별적으로 사용됨.",2012-12-19 01:27,Y
12171507,황화염료,Sulfur dye,"여러 가지 유기화합물과 황을 가열·용융하여 얻는 한 무리의 염료로서, 햇볕·세탁 등에 대한 견뢰도가 좋고, 염소표백에는 약하지만 값이 싸서 무명의 염색에널리 사용됨.",2012-12-19 01:27,Y
12171508,배트염료,Vat dye,"물에 녹지않는 염료에 알칼리성 환원제인 하이드로설파이트와 수산화나트륨을 가하여 가온하면 생기는 류코화합물을 공기산화시켜서 만들어지는 염료임. 배트염료는일광견뢰도, 염소견뢰도, 세탁견뢰도가 우수한 셀루로오스 섬유용 염료로 인디고계와 안트라퀴논계로 두가지가 있음.",2012-12-19 01:27,Y
12171509,반응성염료,Reactive dyes,"반응성염료는 비닐 술폰기, 염화 트리아지닐기등의 반응기를 도입하여 섬유의 히드록실기나 아민기와 공유결합으로 염착시키는 염료로 대부분의 염료들은 물리적인흡착을 이용하여 섬유 내부로 침투한 후 고착되어 염색되지만 반응성염료는 섬유와의 화학적 공유결합으로 피염물에 염착되어 세탁견뢰도와 마찰견뢰도가 우수한 특성을 가지고 있음. 면과 마 등의 식물성섬유를 염색하기 위해 개발되었으나 최근에는 견과 모 등의 동물성섬유 및 합성섬유 등에도 사용됨.",2012-12-19 01:27,Y
12171511,산성염료,Acid dyes,"산성염료는 하나 이상의 산성기가 존재는 염료로 나이론 섬유와 양모, 견, 모피와 같은 동물성 섬유에 대하여 산성욕에서 양호한 염착성을 나타내는 염료이며섬유의 염기성기과 염료분자의 산성기의 결합에 의해 염색됨. 화학구조별로 아조염료, 안트라퀴논염료, 인디고이드염료 등이 산성염료에 해당되며 색상과 색상인덱스(CI)별로 매우 다양한 종류가 존재함.",2012-12-19 01:27,Y
12171594,염기성염료,Basic dyes,"하나 이상의 아미노기 또는 암모늄기가 존재하고 색상이 선명한 특성을 가지는 최초로 개발된 합성염료로서, 수용액상에서 발색 부분이 양이온이 되는 수용성염료로, 섬유의 산성기와 염료분자의 염기(-NH2)와의 결합에 의해 염색되며, 색상의 선명도와 착색력이 우수하여 섬유를 비롯하여 종이, 피혁 등의 착색과 인쇄잉크로도 사용됨. 일광견뢰도가 낮아 천연섬유에는 사용하지 않으며 아크릴섬유를 대상으로 견뢰도를 개량한 개질염기성염료인 카치온(Catidnic dye)염료가 개발되어 사용됨.",2012-12-19 01:27,Y
12171595,직접염료,Direct dyes,"직접 염착되는 음이온성의 염료로 이중결합이 길고 색상이 탁한 특성을 가지는 면과 마 등의 식물성 섬유와 비스코스 등의 재생섬유 및 폴리에스텔, 아크릴 등의 합성섬유에 염착이 가능한 염료로서, 아조계염료가 주류이며 색상수가 많고 가격이 저렴하며, 구조 중 술폰산기(-SO3H)를 가지고 있으므로 물에 잘 용해하여 염색조작이 간편하고 사용하기 쉬우나 수용성이기 때문에 견뢰도가 좋지 못하다는 단점이 있음.",2012-12-19 01:27,Y
12171596,아조익염료,Azoic dyes,"하지제로 베타-나프톨 또는 나프톨-AS류의 알칼리염과 현색제인 디아조 성분을 섬유상에 커프링반응시켜 물에 불용성인 아조익염료를 생성하여 염착시켜 만드는염료로서, 저렴하고 비교적 선명한 색상을 나타내고 세탁견뢰도가 우수하기 때문에 중급품의 염색에 사용되고 있으며 주로 직물의 염색에 사용됨. 나프톨을 사용하므로 나프톨염료, 디아조화물을 만들 때 얼음을 사용하므로 아이스염료, 섬유상에서 현색 발색시키므로 현색염료라고도 함.",2012-12-19 01:27,Y
12171597,매염염료,Mordant dyes,"염색 시 섬유에 직접 염착되지 않기 때문에 알루미늄(Al), 크롬(Cr), 철(Fe), 주석(Sn) 등의 금속으로 처리하여 염착하는데, 천연염료처럼 매염제로 전처리한 섬유를 염색하는 염료로서. 매염제의 종류에 따라 색상이 같은 단색성염료와 각기 다른 다색성염료가 있고, 매염금속으로는 크롬이 가장 많이 사용됨. 일광견뢰도와 세탁견뢰도가 우수하지만 염색방법이 복잡하고 재현성이 떨어지기 때문에 오늘날 거의 사용하지 않으며, 반면 최근에는 동물섬유에 염착하고나중에 금속염 처리하여 섬유상에서 착염을 형성하는 산성매염염료를 사용함.",2012-12-19 01:27,Y
12171598,분산염료,Disperse dyes,"물에 난용성이며 비이온성으로 분산제와 함께 물에 미립화되는 염료로, 분산시킨 현탁액 속에서 아세테이트, 폴리에스텔, 나이론, 아크릴, 폴리프로필렌 섬유와같은 수성 합성섬유를 고온고압에서 염착시키는 방법으로 염색하는 염료. 피염물은 짙은 오렌지색을 나타내고 일광견뢰도, 땀견뢰도, 세탁견뢰도가 우수하여 미세한 염료입자가 염욕에 분산된 상태로 섬유에 침투 염색되므로 초산섬유 및 염색하기 어려운 합성섬유용으로 사용됨.",2012-12-19 01:27,Y
12171599,기타염료,Other dyes,타분류에 속하지 않는 염료.,2012-12-19 01:27,Y
121716,안료,Pigments,"물 및 대부분의 유기용제에 녹지 않는 분말상의 착색제. 백색 또는 유색이며, 아마인유·니스·합성수지액·아라비아고무 등 전색제에 섞어서 도료·인쇄잉크·그림물감 등을 만들어 물체 표면에 착색하거나, 고무·합성수지 등에 직접 섞어서 착색함. 이밖에 도자기의 유약·화장품, 또 최근에 합성섬유 원료의 착색에도 사용되어 용도가 다양함.",2012-12-19 01:27,Y
121647,감수제,Water reducing agents,액체 속에 미세하게 밀집된 고체 분말을 집어 넣으면 고체 입자는 서로 집합하여 집합체를 형성하고 골고루 분산되지 않는 경향이 있는데 이것은 고체 입자간의응집력이 고체 입자의 표면을 젖게 하는 힘보다 커서 집단적으로 뭉치게 되는 응집현상임. 이러한 응집현상을 억제하기 위해서 첨가하는 감수제는 각각의 고체입자 또는 대단히 작은 입자군으로 분산시키도록 하는 작용을 하는 화학제품으로 고체 입자에 대한 분산작용이 뛰어나고 주변의 공기를 함입하지 않는 표면활성이 있는 첨가제.,2012-12-19 01:27,Y
12164701,시멘트감수제,Cement water reducing agents,"시멘트에 물을 가하여 혼화할 때 시멘트 입자를 대전시켜 입자를 분산시키는 혼화제의 일종으로 감수제를 혼합하면 물과의 접촉 면적이 증가되어 물과 시멘트 비가 적게 되므로 콘크리트의 시공용이성이 개선되는 효과가 있고 강도가 향상됨. 표준형이외에 응결을 지연시키는 지연형, 촉진시키는 촉진형이 있으며 기타 기포작용이 있는 AE제, 감수효과를 이용하여 유동성을 개선하는 유동화제 등이 포함됨.",2012-12-19 01:27,Y
121648,개질제,Modifiers,"물질의 특정한 물리화학적 물성을 향상시키기 위해 사용되는 첨가제로 건설/토목/건축 재료에 사용되는 개질제의 종류로는 마찰계수를 줄이는 개질제, 내마모성을향상시키는 개질제, 내스크래치성을 향상시키는 개질제, 접착성을 지닌 물질과의 이형성을 향상시키는 개질제, 물 흡수를 감소시키는 소수성 부여 개질제 등이있음.",2012-12-19 01:27,Y
12164801,아스팔트개질제,Asphalt modifier,"아스팔트의 물성을 향상 시키기 위해 사용되는 첨가제로 소성변형방지, 균열방지, 배수성, 도로포장, 저소음 포장 등에 사용됨.",2012-12-19 01:27,Y
121649,방수제,Waterproofing agents,"물질이 물에 대한 방수성을 갖게 하기 위하여 사용되는 화학제품. 콘크리트와 모르타르 구조물의 표면이나 종이 또는 천과 같은 섬유제품의 표면에 발라서 방수대상 물질의 미세한 공극부에 소수성피막을 생성시켜 방수성을 갖게하는 것과 대상물질과 혼합하여 방수성을 증대시키는 혼합 방수제가 있는데 후자의 경우가 더방수성이 우수함. 콘크리트와 모르타르 구조물의 표면에 주로 사용되는 방수제는 주성분 별로 무기질계, 유기질계, 폴리머계의 3가지 종류가 있고, 표면에 발라서 방수막을 형성하는 도막방수재의 종류로는 에폭시계 도막방수재, 우레탄계 도막방수재, 아크릴에멀젼 도막방수재 등이 있음.",2012-12-19 01:27,Y
12164906,아스팔트도막방수재,Asphalt waterproof coatings,"건축구조물의 방수에 사용되는 주재료가 아스팔트인 도막방수재로 방수공사용 아스팔트, 지붕용 도막방수재인 고무 아스팔트, 콘크리트와 방수층이 밀착되도록 하는아스팔트프라이머 등으로 방수공사용 아스팔트로는 주로 블론 아스팔트와 아스팔트 컴파운드가 사용됨. 단, 아스팔트 방수시트 등의 구체적 성형물은 제외.",2012-12-19 01:27,Y
12164910,방수혼화제,Waterproof admixture,"콘크리트 타설시 콘크리트에 직접 혼합하여 사용하는 분말형 방수제로 콘크리트 구조물 자체의 방수성을 증가시키는 혼화제. 화학물질에 의한 침식과 동결 융해에대한 건축 구조물의 저항성을 높이기 위해서는 콘크리트 구조체 자체의 흡수성 및 투수성을 현저하게 감소시켜야 하는데 내벽방수-모르터방수, 침투성방수, 도막방수만으로는 외부에서 침투되는 물과 유해물질을 차단시킬 수 없으므로 구조체 전체를 방수 구체화가 필요함.",2012-12-19 01:27,Y
12164999,기타방수재,Other water proofing agents,"일반적으로 도막방수재는 수지, 안료, 용제, 첨가제 등으로 구성되어지는데 건축구조물의 방수에 사용되는 주재료인 수지 종류가 우레탄, 아스팔트, 에폭시,무기질을 제외한 콜타르, 아크릴, 클로로프렌 및 기타 액상고무 또는 합성고무인 것을 말하며, 도막방수공사에 사용되는 부자재이지만 도막방수재로 따로 분류및 목록화가 되지 않은 것을 포함.",2012-12-19 01:27,Y
121650,지수제,Water stop agents,"지수작용이란 물의 흐름을 막아 더이상의 물이 흐르는 것을 방지하는 것으로 주로 콘크리트 조인트, 신구 콘크리트의 접합부, 움직임이 있는 균열의 충진처리와내외 수압차가 예상되는 곳의 지수 처리 등에 주로 사용되는 화학제품으로 수팽창고무지수제, 우레탄지수제, 벤토나이트 등의 종류가 있음.",2012-12-19 01:27,Y
121694,무수축제,Non shrinkage agents,"물질의 건조 시에는 수분 증발과 함께 수축이 유발되는데 이러한 수축을 극소화시켜 제품의 균열을 억제하고 강도를 증진시키기 위한 목적으로 첨가되는 첨가제로서, 콘크리트 등의 구조물에 조강성과 고강도성을 부가하여 빠른 강도 발현에 의한 공사기간의 단축효과를 기대할 수 있고, 시공 후의 장기 강도가 높아 운전등으로 인한 각종의 힘(중력하중, 이동하중, 진동하중)이 작용하는 기계 기초나 교량의 Bearing Pad 등 유동하중이 심한 부분도 충분한 지지력을유지시켜 주며, 치밀한 조직체를 형성하여 물이나 기름이 침투하지 못하므로 장기적인 내구성을 발휘하도록 함.",2012-12-19 01:27,Y
121621,방염제,Flame retardants,"목재·섬유·플라스틱·종이 등의 가연물에 불꽃을 점화한 후 불꽃을 제거하였을 때 스스로 계속 연소되거나 번지지 않도록 하기 위한 처리제이며, 특히 섬유소계섬유를 대상으로 하는 경우 내세탁성을 고려하여 일시적 방염제와 영구적 방염제로 나눔.",2012-12-19 01:27,Y
12162101,브롬화합물계,Brominated,"브롬화합물계 방염제의 방염효과 원리는 근본적으로 기체상에서 발생하는 라디칼을 안정화시켜 난연효과를 가지게하는 것으로 고체상에서도 난연효과를 나타내며 브롬은 가연성 물질의 산화촉매제로 작용하여 결과적으로는 생성된 탄소화합물은 산소 및 잠열을 차단하여 가연성물질이 연소영역이하에 있도록 도와 주는 역할을 함.브롬화합물계 방염제로는 총수요량의 80%이상이 에폭시수지용 방염제로 헥사브로모시클로도데칸(Hexabromocyclododecane), DBDPO(Decabromodiphenyloxide), TAIC-6B(Tris(2,3-dibromopropyl)isocyanurate), GLCFF-680(1,2-Bis(2,4,6-tribromophenoxy)ethane), 헥사브로모벤젠(Hexabromobenzene), 기타데카브롬 등이 있음.",2012-12-19 01:27,Y
12162196,염소화합물계방염제,Chlorinated,"염소화합물계 방염제의 방염효과는 원료를 개질하여 불이 붙었을 때 염소와 같은 불연성기체가 불꽃 주위를 에워싸서 산소의 공급을 차단시켜 난연효과를 나타냄.염소화합물계 방염제로는 경제성이 높은 첨가형 방염제 또는 가소제로써 각종 수지에 사용되는 TCEP, 염화파라핀 등이 있음.",2012-12-19 01:27,Y
12162197,유기인계방염제,Organophosphorus,"유기인계 방염제의 방염성은 주성분인 인화합물이 연소하여 열분해에 의해 폴리메타인산을 생성하고 이것이 보호층을 형성하는 경우와 폴리메타인산이 생성될 때의탈수작용에 의해서 생성되는 탄소피막이 산소를 차단하여 난연효과를 나타냄. 유기인계 방염제로는 요소1인산, THPC, APO 등 섬유소의 수산화기와 결합하는 것과 포스포릴 아미드 트리알릴 포스페이트, 트리이소프로필레이트 페닐 포스페이트 등의 중합성 물질이 있음.",2012-12-19 01:27,Y
12162198,무기염계방염제,Inorganic salt,"열에 의해 휘발되지 않으며 분해되어 물, 이산화탄소, 이산화황, 염화수소와 같은 불연성 기체를 방출하여 난연효과를 내는 무기염계방염제는 기체상에서는 가연성 기체를 희석시켜 플라스틱 표면을 도포하여 산소의 접근을 방지하고 동시에 고체상표면에서 흡열반응을 통하여 플라스틱 냉각 및 열분해 생성물의 생성을 감소시키는 효과가 있음. 주성분으로는 수산화알미늄·수산화마그네슘·산화안티몬·수산화주석·산화주석·산화몰리브덴·지르코늄화합물·붕산염·칼슘염 등이 있음.",2012-12-19 01:27,Y
12162199,수용성수지계방염제,Water soluble resin,"수용성 수지계 방염제는 주로 수용성 난연수지를 주성분으로 하는 방염도료로 활용되는데, 이경우 산소지수가 높고, 방화성능과 접착력이 우수하며 연소지연 및유해가스 발생 저하 등의 특성을 가지고 있음. 전력, 통신케이블이 번들(Bundle)로 포설되어 있어 케이블 화재의 위험이 많은 경우에 도포하여 연소확산방지기능을 갖도록함으로서, 방화벽/판텔관통부분 밀폐후 케이블, 변전소, 전력(공동)구, 케이블수직부 전량, 맨홀, 접속/교차부위, 화재취약 지역 등의난연처리에 사용됨. 방염도료 이외의 용도로 수용성 우레탄수지는 우레탄 특유의 물성으로 인해 방염처리대상은 주로 섬유 등이며 방염성능, 난연효과로 화재발생시 불꽃의 급속한 확산을 방지하고 유해가스가 발생되지 않으며 섬유에 탄력을 더하여 균열이 발생되지 않는 등의 섬유자체의 물성까지도 개선할 수 있는 것으로 알려져 있음.",2012-12-19 01:27,Y
121623,경화제,Curing agents,"수지에 첨가하여 다리결합을 일으켜 경화시키는 약제로, 미가황 고무에 배합하여 흐름을 방지하기 위한 배합제나 분자를 다리결합시키기 위한 가교제, 시멘트·석고에 첨가하여 경화를 촉진하는 경화촉진제 등이 있음.",2012-12-19 01:27,Y
12162301,수인성경화제,Waterborne curing agents,시멘트의 수화반응을 빠르게하고 초기재료의 강도를 높이기 위해 사용하는 수중불분리콘크리트를 제조하기 위해 사용하는 혼화제. 물과의 혼화로 인해 경화되는 수인성 경화제는 콘크리트의 점성과 응집작용을 향상시켜 해수를 포함한 수중에서의 콘크리트 양생과 정중 재료분리를 억제하는 역할을 함으로서 수중기초콘크리트구조물이나 교량 및 항만공사 등 수중콘크리트타설 시 주로 사용됨.,2012-12-19 01:27,Y
12162302,시멘트결합촉진제,Cement accelerators,"시멘트의 응결을 촉진하여 짧은 시간(약10분)에 고화시키는 혼화제로서 주성분은 실리케이트, 알루미네이트, 염화칼슘 등이 있고, 주요성분에 따라 무기계,수지계, 유기산계 등으로 종류 구분되고 교량, 도로, 터널 및 암벽 벽면과 같은 콘크리트구조물의 보수용, 긴급공사용, 바닥누수차단급결지수제용 등의 용도로사용됨.",2012-12-19 01:27,Y
12162398,콘크리트양생제,Concrete curing agents,"콘크리트 타설 후 표면에 살포하여 얇은 보호막을 형성시키고 외부 영향에 의한 수분 증발을 억제하여 시멘트의 수화작용을 증진시킬 뿐만 아니라 습윤상태를 유지하여 콘크리트 표면의 건조 수축 및 균열을 방지, 신규 콘크리트 양생제로 사용하면 수축을 최소화하고 수분증발을 억제시켜 콘크리트의 강도를 증가시킴.",2012-12-19 01:27,Y
12162399,비산방지표면경화제,Surface ash hardeners,"석탄 등 비산물의 야적 또는 수송중에 바람에 의해 흩날리는 미세먼지를 방지하고 빗물 등에 의해 침식되어 환경을 오염시키는 것과 이의 손실을 방지하기 위하여 비산물 표면을 코팅, 경화시키는 수용성 고분자수지 에멀션용액을 말함.",2012-12-19 01:27,Y
121640,살균제,Bactericides,"인체 또는 동물과 식물에 유해한 미생물인 세균, 바이러스, 리케차 등을 살상시키거나 생장을 억제시키는 효과를 지닌 화학약품. 살균제의 주요성분으로는 할로겐 화합물, 유기산, 유기금속, 구리화합물,유기황화물, 질소화합물, 페놀화합물, 글루타르알데히드 등이 주로 사용됨. 단, 농약(Pesticides), 살충제(Insecticides), 진균제(Fungicides), 방부제(Antiseptics) 등은 별도로 분류함.",2012-12-19 01:27,Y
