그룹코드(GRP_CODE),그룹명칭(GRP_TEXT),그룹코드사용여부(GRP_CODEUSE)
KK000000,대표자재(제용품),Y
MM,MRO 물품,Y
MMRO,MRO 물품,Y
MMRO00,MRO 물품,Y
MMRO0000,MRO 물품,Y
PP,공사,Y
PP01,건설공사,Y
PP0100,건설공사,Y
PP010001,건설공사(과세),Y
PP010002,건설공사(면세),Y
PP010003,건설공사(공통),Y
PP02,전기공사,Y
PP0200,전기공사,Y
PP020001,전기공사(과세),Y
PP020002,전기공사(면세),Y
PP020003,전기공사(공통),Y
PP03,정보통신공사,Y
PP0300,정보통신공사,Y
PP030001,정보통신공사(과세),Y
PP030002,정보통신공사(면세),Y
PP030003,정보통신공사(공통),Y
PP04,소방공사,Y
PP0400,소방공사,Y
PP040001,소방공사(과세),Y
PP040002,소방공사(면세),Y
PP040003,소방공사(공통),Y
QQ,용역,Y
QQ01,용역,Y
QQ0100,용역,Y
QQ010001,기술용역(과세),Y
QQ010002,기술용역(면세),Y
QQ010003,기술용역(공통),Y
QQ02,기타,Y
QQ0200,기타,Y
QQ020000,기타,Y
XX,계열사,Y
XX00,계열사,Y
XX0000,계열사,Y
XX00000,계열사,Y
ZZ,I010001,Y
ZZ00,I010001,Y
ZZ0000,I010001,Y
ZZ000000,I010001,Y
ZZ91,시설장외물품,Y
ZZ9100,시설장외물품,Y
ZZ910001,시설장외물품,Y
ZZ92,전기장외물품,Y
ZZ9200,전기장외물품,Y
ZZ920001,전기장외물품,Y
ZZ93,차량장외물품,Y
ZZ9300,차량장외물품,Y
ZZ930001,차량장외물품,Y
ZZ94,장외물품(기타),Y
ZZ9400,장외물품(기타),Y
ZZ940001,장외물품(기타),Y
AA,궤도용품,Y
AA01,궤도용품,Y
AA0100,궤도용품,Y
AA010001,레일,Y
AA010002,절연레일,Y
AA010003,중계레일,Y
AA010004,가드레일,Y
AA010005,스파이크,Y
AA010006,이음매판,Y
AA010007,응급이음매장치,Y
AA010008,레일앵커,Y
AA010009,타이플레이트,Y
AA010010,베이스플레이트,Y
AA010011,숄더,Y
AA010012,코일스프링클립,Y
AA010013,레일패드,Y
AA010014,절연블럭,Y
AA010015,콘크리트침목체결구,Y
AA010016,클립,Y
AA010017,클립걸이,Y
AA010018,포인트부속,Y
AA010019,건널목고무보판,Y
AA010020,교량침목고정장치,Y
AA010021,목침목탄성체결구,Y
AA010022,노스가동분기기,Y
AA010023,탄성분기기,Y
AA010024,포인트,Y
AA010025,포인트레일,Y
AA010026,크로싱,Y
AA010027,망간크로싱,Y
AA010028,가동레일,Y
AA010029,텅레일,Y
AA010030,간격재,Y
AA010031,눌림쇠,Y
AA010032,조절레일부레이스,Y
AA010033,클램프,Y
AA010034,침목이음매판,Y
AA010035,쌍동이훅타이프레이트,Y
AA010036,게이지타이롯트,Y
AA010037,게이지타이롯트부속품,Y
AA010038,게이지스트랏트,Y
AA010039,상판,Y
AA010040,힐상판,Y
AA010041,연결간,Y
AA010042,연결판,Y
AA010043,간격간,Y
AA010044,조절블럭,Y
AA010045,신축이음매장치,Y
AA010046,신축이음매부속품,Y
AA010047,강교가설제(BU빔거더),Y
AA010048,BU비임,Y
AA010049,강교가설제(I빔거더),Y
AA010050,강교가설제,Y
AA010051,거더,Y
AA010052,거더받침,Y
AA010053,전시용철탑,Y
AA010054,강교가설제(BU빔이음판),Y
AA010055,거리표,Y
AA010056,곡선표,Y
AA010057,구배표,Y
AA010058,사각볼트,Y
AA010059,육각볼트,Y
AA010060,평와샤,Y
AA010061,스프링와샤,Y
AA010062,침목,Y
AA010063,콘크리트침목,Y
AA010064,고무보판,Y
AA010065,철탑,Y
AA010066,볼트,Y
AA010067,와샤,Y
AA010068,너트,Y
BB,차량용품,Y
BB01,고속철도(KTX)용품,Y
BB0100,고속철도(KTX)용품,Y
BB010001,덮개류,Y
BB010002,브라켓,Y
BB010003,검사시험기,Y
BB010004,단자(대),Y
BB010005,변압기,Y
BB010006,씰,Y
BB010007,오-링,Y
