첨부파일_아이디(ID),역명,물류시설일련번호,사진설명,원본파일명,첨부파일명,첨부파일크기,최초등록일시,최종변경일시
276,신선대,1,신선대 적하장(신선대선),신선대_철도CY_현장사진_신선대 적하장(신선대선).jpg,2011101421084100.jpg,19900,2011-09-01 00:00,2016-08-08 14:26
277,신창원,1,경상남도 창원시,신창원_철도CY_항공사진.jpg,2011101512100200.jpg,416336,2011-09-01 00:00,2016-08-08 17:34
278,신창원,1,"1: 대한통운, 2: 코레일로지스",신창원_철도CY_시설물사진.jpg,2011101512100201.jpg,232524,2011-09-01 00:00,2016-08-08 17:34
279,신창원,1,창기(환) 4km.656,신창원_철도CY_배선약도.jpg,2011101512100202.jpg,127464,2011-09-01 00:00,2016-08-08 17:34
280,신창원,1,구)대한통운 CY부지,신창원_철도CY_현장사진_구)대한통운 CY부지_1.jpg,2011101512100203.jpg,21039,2011-09-01 00:00,2016-08-08 17:34
281,신창원,1,구)대한통운 CY부지,신창원_철도CY_현장사진_구)대한통운 CY부지_2.jpg,2011101512100204.jpg,13622,2011-09-01 00:00,2016-08-08 17:34
282,신창원,2,코레일로지스,신창원_철도CY_현장사진_코레일로지스_1.jpg,2011101512103400.jpg,23947,2011-09-01 00:00,2016-08-05 17:29
283,신창원,2,코레일로지스,신창원_철도CY_현장사진_코레일로지스_2.jpg,2011101512103401.jpg,16820,2011-09-01 00:00,2016-08-05 17:29
284,아포,1,경북 김천시,아포_철도CY_항공사진.jpg,2011101513200200.jpg,444715,2011-09-01 00:00,2016-08-11 09:28
285,아포,1,동부고속,아포_철도CY_시설물사진.jpg,2011101513200201.jpg,129562,2011-09-01 00:00,2016-08-11 09:28
286,아포,1,서기(환) 270km.091,아포_철도CY_배선약도.jpg,2011101513200202.jpg,95865,2011-09-01 00:00,2016-08-11 09:28
287,아포,1,아포역 CY (동부고속),아포_철도CY_현장사진_아포역 CY (동부고속).jpg,2011101513200203.jpg,13402,2011-09-01 00:00,2016-08-11 09:28
288,온산,1,울산광역시 울주군,온산_철도CY_항공사진.jpg,2011101513450100.jpg,396568,2011-09-01 00:00,2016-08-08 16:37
289,온산,1,"가: 정일터미널, 나: 코레일로지스, 다: 대한통운",온산_철도CY_시설물사진.jpg,2011101513450101.jpg,236894,2011-09-01 00:00,2016-08-08 16:37
290,온산,1,남기(환) 8km.604,온산_철도CY_배선약도.jpg,2011101513450202.jpg,86701,2011-09-01 00:00,2016-08-08 16:37
291,온산,1,온산역사,온산_철도CY_현장사진_온산역사.jpg,2011101513450203.jpg,14730,2011-09-01 00:00,2016-08-08 16:37
292,온산,1,정일터미널,온산_철도CY_현장사진_정일터미널.jpg,2011101513450204.jpg,28068,2011-09-01 00:00,2016-08-08 16:37
293,온산,3,대한통운,온산_철도CY_현장사진_대한통운.jpg,2011101513460100.jpg,22544,2011-09-01 00:00,2016-08-05 16:58
294,울산항,1,울산광역시 남구,울산항_철도CY_항공사진.jpg,2011101514170100.jpg,486977,2011-09-01 00:00,2016-08-05 16:55
