역명,물류시설일련번호,지역본부명,구역구분명,설치일자,운용개시일자,조성일자,기부채납일자,사용시작일자,사용종료일자,무상사용시작일자,무상사용종료일자,시설자산여부,시설자산사용면적수,시설자산전체면적수,운영자산여부,운영자산사용면적수,운영자산전체면적수,기타자산여부,기타자산사용면적수,기타자산전체면적수,부지사용면적수,부지전체면적수,연간사용요금내역,연간수입내역,연간적정수송면적수,최초등록일시,최종변경일시,최대작업수량,작업선유효장
의왕,1,수도권서부본부,,1985-12-03,,,1988-11-30,1985-12-03,9999-12-31,,,0,,,Y,,,0,,,,,무상(88.11.30 ~ 08.11.29),,,2011-09-01 00:00,2011-09-01 00:00,,
의왕,2,수도권서부본부,,1986-03-15,,,1988-11-30,1986-03-15,9999-12-31,,,0,,,Y,,,0,,,,,무상(88.11.30 ~ 08.11.29),,,2011-09-01 00:00,2011-09-01 00:00,,
의왕,3,수도권서부본부,,1986-03-15,,,1988-11-30,1986-03-15,9999-12-31,,,0,,,Y,,,0,,,,,무상(88.11.30 ~ 08.11.29),,,2011-09-01 00:00,2011-09-01 00:00,,
의왕,4,수도권서부본부,,1986-05-15,,,1988-11-30,1986-05-15,9999-12-31,,,0,,,Y,,,0,,,,,무상(88.11.30 ~ 08.11.29),,,2011-09-01 00:00,2011-09-01 00:00,,
의왕,5,수도권서부본부,,1986-08-31,,,1988-11-30,1986-08-31,9999-12-31,,,0,,,Y,,,0,,,,,무상(88.11.30 ~ 08.11.29),,,2011-09-01 00:00,2011-09-01 00:00,,
의왕,6,수도권서부본부,,1986-08-31,,,1988-11-30,1986-08-31,9999-12-31,,,0,,,Y,,,0,,,,,무상(88.11.30 ~ 08.11.29),,,2011-09-01 00:00,2011-09-01 00:00,,
수원,1,수도권서부본부,,1976-08-01,,,,1976-08-01,9999-12-31,,,0,,,0,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-17 13:45,,
수원,2,수도권서부본부,,1972-10-30,,,,1972-10-30,9999-12-31,,,N,,,N,,,N,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
성북,1,수도권동부본부,,1984-09-28,,,1985-12-04,1984-09-28,9999-12-31,,,0,,,Y,,,0,,,,,490284000,,,2011-09-01 00:00,2011-09-01 00:00,,
성북,2,수도권동부본부,,1985-01-10,,,1985-07-04,1985-01-10,9999-12-31,,,0,,,Y,,,0,,,,,375208000,,,2011-09-01 00:00,2011-09-01 00:00,,
덕소,1,수도권동부본부,,1983-07-07,,,1988-12-31,1983-07-07,9999-12-31,,,0,,,1,8067,8067,0,,,8067,8067,6160000,,,2011-09-01 00:00,2011-09-17 13:51,,
덕소,2,수도권동부본부,,1988-12-21,,,1998-03-20,1988-12-21,9999-12-31,1998-03-20,2018-03-19,0,,,1,8067,8067,0,,,8067,8067,"무상, 전용선",,,2011-09-01 00:00,2019-08-29 10:17,,
팔당,1,수도권동부본부,,1991-05-09,,,1993-11-26,1991-05-09,9999-12-31,,,0,,,Y,,,0,,,,,"무상, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
초성리,1,수도권동부본부,,2000-12-27,,,,2000-12-27,2023-12-31,,,0,,,0,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2024-02-26 10:21,,
오송,1,대전충남본부,,1988-02-01,,,1983-08-22,1988-02-01,2015-07-28,,,0,,,Y,,,0,,,,,4320350,,,2011-09-01 00:00,2011-09-01 00:00,,
오송,2,대전충남본부,,1987-04-29,,,1987-08-26,1987-04-29,2015-07-28,,,0,,,Y,,,0,,,,,4320350,,,2011-09-01 00:00,2011-09-01 00:00,,
부강,1,대전충남본부,,,,,,2011-08-12,9999-12-31,,,0,,,0,,,N,,,0,,"사유지, 전용선",,,2011-09-01 00:00,2016-08-12 17:22,16,16
부강,2,대전충남본부,,,,,,2011-08-12,9999-12-31,,,0,,,0,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2019-08-29 14:24,,
매포,1,대전충남본부,,1996-06-30,,,,1996-06-30,2012-01-09,,,0,,,0,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2022-06-14 13:08,,
매포,2,대전충남본부,,1996-06-30,,,,1996-06-30,9999-12-31,,,0,,,0,,,N,,,0,,"사유지, 전용선",,,2011-09-01 00:00,2016-08-12 17:24,20,27
매포,3,대전충남본부,,1911-11-29,,,1992-03-19,1911-11-29,9999-12-31,1992-05-12,2012-05-11,0,,,1,,,0,,,0,,"무상, 전용선",,,2011-09-01 00:00,2016-08-12 17:24,7,14
대전조,1,대전충남본부,,1984-07-08,,,1985-01-28,1984-07-08,9999-12-31,,,0,,,1,,,0,,,0,,86646390,,,2011-09-01 00:00,2016-08-12 17:46,20,23
대전조,2,대전충남본부,,1987-06-10,,,1988-02-13,1987-06-10,9999-12-31,,,0,,,Y,,,0,,,,,86646390,,,2011-09-01 00:00,2011-09-01 00:00,,
신탄진,1,대전충남본부,,1991-02-01,,,,1991-02-01,9999-12-31,,,0,,,1,,,0,,,0,,"사유지, 전용선",,,2011-09-01 00:00,2016-08-12 17:26,10,11
신탄진,2,대전충남본부,,1985-07-18,,,,1985-07-18,9999-12-31,,,0,,,Y,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
신탄진,3,대전충남본부,,1987-11-05,,,,1987-11-05,9999-12-31,,,0,,,1,,,0,,,0,,"사유지, 전용선",,,2011-09-01 00:00,2016-08-12 17:26,5,12
흑석리,1,대전충남본부,,1989-10-04,,,1994-12-24,1989-10-04,9999-12-31,1994-12-24,2014-12-23,0,,,1,,,0,,,0,,"무상, 전용선",,,2011-09-01 00:00,2016-08-12 17:48,10,14
연무대,1,대전충남본부,,1994-10-24,,,1986-06-09,1994-10-24,9999-12-31,1986-06-09,2014-12-23,0,,,1,,,0,,,0,,"무상, 전용선",,,2011-09-01 00:00,2016-08-12 18:01,10,30
청주,1,대전충남본부,,1985-09-20,,,1986-06-09,1985-09-20,9999-12-31,,,0,,,1,3315,3315,0,,,3315,3315,42879360,,,2011-09-01 00:00,2016-08-12 17:50,10,19
음성,1,대전충남본부,,1990-04-07,,,1990-10-22,1990-04-07,9999-12-31,,,0,,,1,,,0,,,0,,무상(90.10.22 ~ 10.10.21),,,2011-09-01 00:00,2016-08-12 17:55,20,25
도안,1,대전충남본부,,1990-04-07,,,,1990-04-07,9999-12-31,,,0,,,0,,,N,,,0,,사유지,,,2011-09-01 00:00,2016-08-12 17:54,10,22
간치,1,대전충남본부,,1991-04-01,,,1991-08-28,1991-04-01,9999-12-31,1991-09-16,2011-09-15,0,,,1,,,0,,,0,,,,,2011-09-01 00:00,2016-08-12 18:00,10,18
신성,1,대전충남본부,,1991-12-14,,,,1991-12-14,9999-12-31,,,0,,,0,,,0,,,0,,"사유지, 전용선",,,2011-09-01 00:00,2016-08-12 17:57,21,20
옥마,1,대전충남본부,,1992-11-11,,,1993-07-12,1992-11-11,2015-08-06,1993-07-07,2013-07-06,N,,,N,,,N,,,,,,,,2011-09-01 00:00,2011-09-01 00:00,,
주평,1,경북본부,,1992-03-01,,,,1992-03-01,9999-12-31,,,0,,,0,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
쌍용,1,충북본부,,1959-03-01,,,,1959-03-01,2012-03-09,,,N,,,N,,,N,,,,,,,,2011-09-01 00:00,2011-09-01 00:00,,
주평,2,경북본부,,1959-03-01,,,,1959-03-01,9999-12-31,,,N,,,N,,,N,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
주평,3,경북본부,,2005-01-01,,,,2005-01-01,9999-12-31,,,N,,,N,,,N,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
주평,4,경북본부,,1959-03-01,,,,1959-03-01,9999-12-31,,,N,,,N,,,N,,,,,"사유지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
약목,1,대구본부,,1977-04-01,,,,1977-04-01,9999-12-31,,,0,,,0,,,0,,,,,"사유지, 전용선",,,2011-09-01 00:00,2024-02-26 17:44,,
신동,1,대구본부,,1989-07-13,,,,1989-07-13,9999-12-31,,,0,,,0,,,0,,,0,,"사유지, 전용선",,,2011-09-01 00:00,2016-08-12 10:17,10,277
괴동,1,대구본부,,1994-03-01,,,,1994-03-01,9999-12-31,,,0,,,0,,,Y,,,,,사유지,,,2011-09-01 00:00,2011-09-01 00:00,,
괴동,2,대구본부,,1994-03-01,,,,1994-03-01,9999-12-31,,,0,,,0,,,0,,,,,사유지,,,2011-09-01 00:00,2016-08-08 14:40,,
남문산,1,부산경남본부,,1983-10-17,,,1984-05-21,1983-10-17,2020-12-11,,,0,,,Y,,,0,,,,,2993350,,,2011-09-01 00:00,2011-09-01 00:00,,
고모기,1,대구본부,,2008-11-18,,,,2008-11-18,9999-12-31,,,Y,,,0,,,0,,,,,"공단부지, 전용선",,,2011-09-01 00:00,2011-09-01 00:00,,
한림정,1,부산경남본부,,1990-02-15,,,1988-08-30,1990-02-15,9999-12-31,,,0,,,0,348,348,0,,,348,348,15750000,,,2011-09-01 00:00,2023-10-19 16:50,,
