역명,물류시설일련번호,지역본부명,구역구분명,설치일자,운용개시일자,조성일자,기부채납일자,사용시작일자,사용종료일자,무상사용시작일자,무상사용종료일자,시설자산여부,시설자산사용면적수,시설자산전체면적수,운영자산여부,운영자산사용면적수,운영자산전체면적수,기타자산여부,기타자산사용면적수,기타자산전체면적수,부지사용면적수,부지전체면적수,연간사용요금내역,연간수입내역,연간적정수송면적수,최초등록일시,최종변경일시,최대작업수량,작업선유효장
신탄진,1,대전충남본부,,,2013-05-09,,,2013-05-09,2015-08-06,,,0,,,0,4942,4942,0,,,4942,4942,,,,2013-06-13 14:04,2013-06-13 14:09,,
흥국사,1,전남본부,,,        ,,,2015-06-09,9999-12-31,,,0,,,Y,5618,5618,0,,,5618,5618,,,,2015-06-09 15:55,2023-10-13 09:07,,
흥국사,2,전남본부,,,,,,2015-06-09,2016-08-11,,,N,,,Y,2454,4090,N,,,2454,4090,,,,2015-06-09 15:55,2015-06-09 15:55,,
흥국사,3,전남본부,,,        ,,,2015-06-09,2015-06-10,,,N,,,Y,1636,4090,N,,,1636,4090,,,,2015-06-09 16:03,2015-06-09 16:03,,
흥국사,4,전남본부,,,,,,2015-06-09,2015-06-10,,,N,,,Y,2454,4090,N,,,2454,4090,,,,2015-06-09 16:03,2015-06-09 16:03,,
대전조,3,대전충남본부,,1998-09-14,,,1998-09-14,1998-09-14,9999-12-31,1998-09-14,2018-09-13,0,,,0,,,0,,,0,0,,,,2015-08-06 14:21,2019-01-25 16:32,,
대전조,4,대전충남본부,,1988-02-13,,,1988-02-13,1988-02-13,9999-12-31,1988-02-13,1998-02-13,0,,,0,,,0,,,0,0,,,,2015-08-06 14:28,2019-01-25 16:33,,
신탄진,2,대전충남본부,,,2013-05-09,,,2013-05-09,9999-12-31,,,0,,,1,8791,10190,0,,,8791,10190,,,,2015-08-12 18:48,2016-08-12 17:29,20,25
청주,2,대전충남본부,,,1995-09-19,,,1995-09-19,2015-08-29,,,N,,,Y,0,16287,N,,,0,16287,,,,2015-08-21 14:44,2015-08-21 14:44,,
매포,2,대전충남본부,,,2006-11-01,,,2006-11-01,9999-12-31,,,0,,,1,0,7240,0,,,0,7240,,,,2015-08-21 14:44,2016-08-12 17:16,14,14
청주,3,대전충남본부,,,1995-09-19,,,1995-09-19,9999-12-31,,,0,,,1,0,18029,0,,,0,18029,,,,2015-08-29 17:36,2016-08-12 17:52,15,18
의왕,18,수도권서부본부,,,2016-07-25,,,2016-07-25,2016-07-26,,,N,,,Y,30,100,Y,20,100,50,200,,,1,2016-07-26 10:55,2016-07-26 10:55,23,3
문수,1,경북본부,,,2013-10-01,,,2013-10-01,9999-12-31,,,0,,,0,3330,3330,0,,,3330,3330,,33406800,27,2016-08-01 14:59,2016-08-01 15:43,10,27
석포,1,경북본부,,,,2008-06-03,,2008-06-03,2028-06-02,,,0,,,0,,2040,0,,,2040,2040,,,,2016-08-02 09:37,2016-08-04 11:15,,
도담,1,충북본부,,,,,,2016-01-01,2016-12-31,,,0,,,0,,,0,,,731,731,,45484500,,2016-08-02 13:41,2016-08-02 13:45,,
괴동,3,대구본부,,,,,,2016-08-08,9999-12-31,,,N,,,N,,,N,,,,,,,,2016-08-08 14:39,2016-08-08 14:39,,
괴동,5,대구본부,,,,2015-07-17,,2015-07-17,9999-12-31,,,0,,,0,,4749,0,,,4749,4749,7135810,,,2016-08-08 14:58,2016-08-15 19:49,,
온산,4,부산경남본부,,,,,,2016-08-08,2016-08-23,,,N,,,Y,158,158,N,,,158,158,,,,2016-08-08 16:42,2016-08-08 16:42,,
온산,5,부산경남본부,,,,,,2016-08-08,2016-08-23,,,N,,,Y,158,158,N,,,158,158,,,,2016-08-08 16:44,2016-08-08 16:44,,
온산,1,부산경남본부,,,,,,2013-11-18,9999-12-31,,,0,,,0,,,0,,,1338,1338,,,,2016-08-08 17:12,2016-08-08 17:15,,
온산,2,부산경남본부,,,,2013-11-18,,2013-11-18,9999-12-31,,,,,,,,,,,,414,414,,,,2016-08-08 17:15,2016-08-08 17:15,,
온산,3,부산경남본부,,,,2013-11-18,,2013-11-18,9999-12-31,,,,,,,,,,,,1338,1338,,,,2016-08-08 17:16,2016-08-08 17:16,,
신창원,1,부산경남본부,,,,2004-10-21,,2004-10-21,9999-12-31,,,0,,,0,,,0,,,14320,14320,,,,2016-08-08 17:31,2016-08-08 17:33,,
신창원,3,부산경남본부,,,,,,2004-10-21,9999-12-31,,,N,,,Y,5303,19623,N,,,5303,19623,,,,2016-08-08 17:32,2016-08-08 17:32,,
부산진,1,부산경남본부,,,,2007-11-01,,2007-11-01,9999-12-31,,,0,,,0,,,0,,,6727,6727,,,,2016-08-08 17:43,2016-08-08 17:44,,
부산신,1,부산경남본부,,,,2012-11-19,,2016-08-08,9999-12-31,,,,,,,,,,,,3608,3608,,,,2016-08-08 18:15,2016-08-08 18:15,,
부산신,2,부산경남본부,,,,2012-11-19,,2016-08-08,2016-08-23,,,,,,,,,,,,3608,3608,,,,2016-08-08 18:16,2016-08-08 18:16,,
부산신,3,부산경남본부,,,,2012-11-21,,2012-11-19,2016-08-23,,,0,,,0,,,0,,,3608,3608,,,,2016-08-08 18:18,2016-08-08 18:20,,
부산신,1,부산경남본부,,,2012-11-01,,,2012-11-01,2027-11-20,,,N,,,Y,17210,17210,N,,,17210,17210,,,,2016-08-08 18:20,2016-08-08 18:20,,
괴동,1,대구본부,,,,,,2008-07-01,2016-08-15,,,,,,,,,,,,98,98,,,,2016-08-08 19:07,2016-08-08 19:07,,
괴동,2,대구본부,,,,2000-07-01,,2000-07-01,2016-08-15,,,,,,,,,,,,279,279,,,,2016-08-08 19:15,2016-08-08 19:15,,
동해,1,강원본부,,,2013-05-06,,,2013-05-06,2016-08-07,,,0,,,1,1610,1611,0,,,1610,1611,,,3000,2016-08-09 16:17,2016-08-09 16:23,,
동해,1,강원본부,,,,2000-02-17,,2000-02-18,9999-12-31,,,0,,,0,,2414,0,,,2414,2414,,,,2016-08-10 15:13,2016-08-10 16:39,,
동해,2,강원본부,,,2013-05-06,,,2013-05-06,9999-12-31,,,0,,,0,1610,1610,0,,,1610,1610,,,3000,2016-08-10 16:07,2016-08-10 16:31,,
약목,1,대구본부,,,,1995-02-03,,1995-02-03,2016-08-11,,,,,,,,,,,,48,48,,40100,,2016-08-11 10:20,2016-08-11 10:20,,
약목,2,대구본부,,,,,,2016-08-01,9999-12-31,,,0,,,0,,,0,,,27,27,,22600,,2016-08-11 18:46,2016-08-11 18:47,,
괴동,6,대구본부,,,,2008-12-01,,2016-08-15,9999-12-31,,,,,,,,,,,,6578,6578,4190890,,,2016-08-15 08:30,2016-08-15 08:30,40,35
괴동,7,대구본부,,,,2015-07-17,,2016-08-15,9999-12-31,,,,,,,,,,,,4749,4749,7135810,,,2016-08-15 19:47,2016-08-15 19:47,60,35
괴동,3,대구본부,사무실,,,2000-08-01,,2016-08-15,9999-12-31,,,,,,,,,,,,30,30,,,,2016-08-15 20:00,2016-08-15 20:00,,
괴동,1,대구본부,야적하치장-7-1,,,2016-08-15,,2016-08-15,9999-12-31,,,,,,,,,,,,10,10,,,,2016-08-15 20:05,2016-08-15 20:05,,
괴동,2,대구본부,1,,,2016-08-15,,2016-08-15,9999-12-31,,,,,,,,,,,,10,100,,,,2016-08-15 20:08,2016-08-15 20:08,,
하남,1,광주본부,,,2013-08-01,,,2013-08-01,2016-08-19,,,0,,,1,0,0,1,27837,33935,27837,33935,,,20,2016-08-19 13:45,2016-08-19 13:46,,
약목,3,대구본부,,,,,,2016-08-22,2016-08-23,,,N,,,N,,,N,,,,,,,,2016-08-22 16:59,2016-08-22 16:59,,
약목,4,대구본부,,,,,,2016-08-20,2016-08-22,,,0,,,0,,,0,,,,,,,,2016-08-22 17:00,2016-08-23 09:10,,
약목,5,대구본부,,,,,,1995-09-01,9999-12-31,,,0,,,1,7436,7436,0,,,7436,7436,,51152400,,2016-08-22 17:02,2016-08-22 17:12,,
약목,6,대구본부,,,2005-02-01,,,2005-02-01,2199-12-31,,,0,,,Y,16495,28572,0,,,16495,28572,,110472000,,2016-08-22 17:46,2016-08-22 19:02,,
신광양,1,전남본부,,,2010-07-08,,,2010-07-08,9999-12-31,,,N,,,N,,,Y,33000,33000,33000,33000,,,382,2016-08-23 18:41,2016-08-23 18:41,310,
부산진,4,부산경남본부,,,2008-08-01,,,2008-08-01,2016-08-29,,,N,,,N,,,Y,2286,2286,2286,2286,,,,2016-08-29 16:21,2016-08-29 16:21,,
부산진,5,부산경남본부,,,,,,2011-08-01,2016-08-29,,,N,,,N,,,Y,3452,3452,3452,3452,,,,2016-08-29 16:24,2016-08-29 16:24,,
부산진,6,부산경남본부,,,,,,2013-08-01,2016-08-29,,,N,,,N,,,Y,4221,4221,4221,4221,,,,2016-08-29 16:26,2016-08-29 16:26,,
부산진,7,부산경남본부,,,,,,2016-08-29,9999-12-31,,,0,,,0,,,1,2286,2286,2286,2286,,,,2016-08-29 16:28,2016-08-31 13:32,,
부산진,8,부산경남본부,,,,,,2016-08-29,9999-12-31,,,0,,,N,,,Y,3452,3452,3452,3452,,,,2016-08-29 16:29,2016-08-31 13:36,,
부산진,9,부산경남본부,,,,,,2016-08-29,9999-12-31,,,N,,,N,,,Y,8360,8360,8360,8360,,,,2016-08-29 16:45,2016-08-29 16:45,,
부산진,1,부산경남본부,,,,,,2016-08-29,9999-12-31,,,,,,,,,,,,36,36,,,,2016-08-29 17:04,2016-08-29 17:04,,
부산진,1,부산경남본부,,,,,,2013-08-01,9999-12-31,,,0,,,0,,,0,,,576,576,,,,2016-08-31 13:30,2016-08-31 13:31,,
부산진,10,부산경남본부,,,,,,2016-06-01,9999-12-31,,,N,,,N,,,Y,4221,4221,4221,4221,,,,2016-08-31 13:34,2016-08-31 13:34,,
부산진,2,부산경남본부,,,,,,2016-06-01,9999-12-31,,,,,,,,,,,,648,648,,,,2016-08-31 13:48,2016-08-31 13:48,,
부산진,11,부산경남본부,,,,,,2014-08-01,9999-12-31,,,N,,,N,,,Y,405,405,405,405,,,,2016-08-31 13:50,2016-08-31 13:50,,
부산진,2,부산경남본부,,,,,,2016-09-05,9999-12-31,,,,,,,,,,,,431,431,,,,2016-09-05 10:09,2016-09-05 10:09,,
부산진,3,부산경남본부,,,,,,2014-09-01,9999-12-31,,,,,,,,,,,,431,431,,,,2016-09-05 10:10,2016-09-05 10:10,,
부산진,12,부산경남본부,,,,,,2015-09-01,9999-12-31,,,N,,,N,,,Y,939,939,939,939,,,,2016-09-05 10:12,2016-09-05 10:12,,
부산진,13,부산경남본부,,,,,,2015-09-01,9999-12-31,,,N,,,N,,,Y,2082,2082,2082,2082,,,,2016-09-05 10:14,2016-09-05 10:14,,
부산진,14,부산경남본부,,,,,,2015-09-01,9999-12-31,,,N,,,N,,,Y,2584,2584,2584,2584,,,,2016-09-05 10:17,2016-09-05 10:17,,
부산진,15,부산경남본부,,,,,,2015-09-01,9999-12-31,,,N,,,N,,,Y,306,306,306,306,,,,2016-09-05 10:19,2016-09-05 10:19,,
부산진,3,부산경남본부,,,,,,2015-09-01,9999-12-31,,,,,,,,,,,,4800,4800,,,,2016-09-05 10:26,2016-09-05 10:26,,
부산진,4,부산경남본부,,,,,,2016-08-01,9999-12-31,,,,,,,,,,,,4820,4820,,,,2016-09-05 10:27,2016-09-05 10:27,,
부산진,5,부산경남본부,,,,,,2015-09-01,9999-12-31,,,,,,,,,,,,7594,7594,,,,2016-09-05 10:34,2016-09-05 10:34,,
부산진,6,부산경남본부,,,,,,2015-09-01,9999-12-31,,,,,,,,,,,,10566,10566,,,,2016-09-05 11:35,2016-09-05 11:35,,
의왕,7,수도권서부본부,,,,,,2019-01-01,2023-12-31,,,0,,,0,,,0,,,,,,,,2019-08-29 14:19,2024-02-26 10:21,,
신탄진,3,대전충남본부,,,2019-10-01,,,2019-10-01,9999-12-31,,,0,,,1,,750,0,,,,750,,,,2019-10-29 18:29,2019-10-29 18:32,,
장항,1,대전충남본부,,,,,,2023-10-18,9999-12-31,,,,,,,,,,,,3312,3312,,,,2023-10-18 16:14,2023-10-18 16:14,,
영주,1,경북본부,,,2023-07-03,,,2023-07-03,9999-12-31,,,0,,,1,8188,8188,0,,,8188,8188,,1086800000,12,2023-10-19 13:52,2024-02-05 14:13,20,29
수색,3,서울본부,,,,,,2023-01-01,2023-10-25,,,N,,,N,,,N,,,,,158125000,,,2023-10-25 09:11,2023-10-25 09:11,,
